time,tavg,tmin,tmax,prcp,wspd,pres,viento_fuerte,lluvia_intensa,presion_baja,condicion_climatica
2024-11-30,20.0,18.0,23.0,1.1,17.4,1012.8,0,0,0,Normal
2024-12-01,20.1,18.7,22.3,0.2,16.8,1012.8,0,0,0,Normal
2024-12-02,20.3,18.0,24.0,0.0,12.5,1013.1,0,0,0,Normal
2024-12-03,19.1,17.8,23.9,0.0,14.0,1013.4,0,0,0,Normal
2024-12-04,19.2,17.0,22.0,0.0,13.2,1013.6,0,0,0,Normal
2024-12-05,18.9,17.0,21.2,0.0,15.9,1012.7,0,0,0,Normal
2024-12-06,19.2,18.0,21.0,0.0,14.6,1012.3,0,0,0,Normal
2024-12-07,19.7,18.0,22.0,0.0,16.1,1012.7,0,0,0,Normal
2024-12-08,20.1,18.0,23.0,0.5,20.9,1012.4,1,0,0,Condición moderada
2024-12-09,19.4,17.9,22.0,0.0,16.8,1011.3,0,0,0,Normal
2024-12-10,19.6,18.0,22.0,0.0,14.3,1011.4,0,0,0,Normal
2024-12-11,20.0,18.0,22.0,0.0,18.4,1012.1,0,0,0,Normal
2024-12-12,20.2,17.9,22.2,0.0,18.6,1012.4,0,0,0,Normal
2024-12-13,20.1,18.0,23.0,0.0,14.4,1012.2,0,0,0,Normal
2024-12-14,20.0,18.0,22.3,0.0,14.1,1012.5,0,0,0,Normal
2024-12-15,19.7,18.0,22.0,9.5,13.8,1012.0,0,1,0,Condición moderada
2024-12-16,19.9,17.0,23.0,3.5,13.2,1012.1,0,0,0,Normal
2024-12-17,20.4,18.0,24.0,0.0,16.0,1012.5,0,0,0,Normal
2024-12-18,21.1,19.2,23.4,0.4,20.9,1013.7,1,0,0,Condición moderada
2024-12-19,20.8,19.0,23.3,0.0,15.0,1013.2,0,0,0,Normal
2024-12-20,20.8,18.0,23.8,0.0,17.9,1012.7,0,0,0,Normal
2024-12-21,20.7,19.0,23.0,0.0,16.8,1013.0,0,0,0,Normal
2024-12-22,20.9,19.0,23.0,0.0,18.1,1014.2,0,0,0,Normal
2024-12-23,22.0,19.8,24.5,0.0,18.3,1015.2,0,0,0,Normal
2024-12-24,21.2,19.0,23.0,0.0,18.4,1013.8,0,0,0,Normal
2024-12-25,21.4,19.0,25.0,0.0,18.5,1012.4,0,0,0,Normal
2024-12-26,22.0,19.0,24.2,0.0,16.3,1013.4,0,0,0,Normal
2024-12-27,22.5,21.0,26.0,0.0,18.6,1013.9,0,0,0,Normal
2024-12-28,21.1,19.0,23.0,0.0,18.9,1013.0,0,0,0,Normal
2024-12-29,20.9,19.0,23.0,0.0,19.3,1012.9,0,0,0,Normal
2024-12-30,21.4,20.0,23.2,0.0,16.8,1012.7,0,0,0,Normal
2024-12-31,21.2,19.0,24.0,0.0,13.1,1012.6,0,0,0,Normal
